EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	16:16:19	0	0.1000	0.006704615072667729	0.001983748283237219	0.9995	0.9995	0.9995
2	16:29:52	0	0.1000	0.0018764245461755271	0.0007546731503680348	0.9998	0.9998	0.9998
3	16:43:18	1	0.1000	0.001428390409741658	0.0009889831999316812	0.9997	0.9997	0.9997
4	16:56:51	2	0.1000	0.001281433457158759	0.0009011110523715615	0.9998	0.9998	0.9998
5	17:10:26	3	0.1000	0.001160885160813556	0.0006250182632356882	0.9998	0.9998	0.9998
6	17:24:01	4	0.1000	0.0009288391432520336	0.0004954988835379481	0.9998	0.9998	0.9998
7	17:39:16	1	0.0500	0.0008205886772528867	0.0004934129538014531	0.9998	0.9998	0.9998
8	17:52:53	2	0.0500	0.0007256656202444912	0.000518464541528374	0.9998	0.9998	0.9998
9	18:06:19	3	0.0500	0.0006219205977933742	0.00046400047722272575	0.9998	0.9998	0.9998
10	18:19:21	4	0.0500	0.0007342968501146098	0.00045348730054683983	0.9998	0.9998	0.9998
11	18:32:02	1	0.0250	0.0005951481113686868	0.00044427913962863386	0.9998	0.9998	0.9998
12	18:44:40	2	0.0250	0.0006219105104267317	0.000488361984025687	0.9998	0.9998	0.9998
13	18:57:17	3	0.0250	0.0005906871863142453	0.0006003173184581101	0.9998	0.9998	0.9998
14	19:09:58	4	0.0250	0.0006297557100612004	0.0005741727072745562	0.9998	0.9998	0.9998